Team,Payroll,Year
New York Jets,"$164,750,649 ",2017
Los Angeles Rams,"$162,386,071 ",2017
Dallas Cowboys,"$162,126,153 ",2017
San Francisco 49ers,"$288,613,249 ",2018
Jacksonville Jaguars,"$271,113,920 ",2018
Washington Redskins,"$267,279,409 ",2018
Chicago Bears,"$248,638,079 ",2018
Cincinnati Bengals,"$239,710,820 ",2018
Carolina Panthers,"$237,651,288 ",2018
Green Bay Packers,"$233,701,644 ",2018
Tennessee Titans,"$233,425,200 ",2018
Los Angeles Rams,"$230,529,648 ",2018
Minnesota Vikings,"$226,304,818 ",2018
Denver Broncos,"$226,250,245 ",2018
New York Jets,"$221,665,352 ",2018
Cleveland Browns,"$218,417,696 ",2018
Oakland Raiders,"$217,859,327 ",2018
Atlanta Falcons,"$211,430,716 ",2018
Tampa Bay Buccaneers,"$208,754,008 ",2018
Arizona Cardinals,"$204,548,240 ",2018
Miami Dolphins,"$202,517,006 ",2018
Detroit Lions,"$198,466,702 ",2018
New York Giants,"$196,995,681 ",2018
Pittsburgh Steelers,"$193,910,974 ",2018
New England Patriots,"$191,074,247 ",2018
Kansas City Chiefs,"$190,758,100 ",2018
New Orleans Saints,"$187,757,213 ",2018
Philadelphia Eagles,"$184,028,701 ",2018
Seattle Seahawks,"$177,837,753 ",2018
Los Angeles Chargers,"$177,430,309 ",2018
Houston Texans,"$175,996,486 ",2018
Dallas Cowboys,"$172,997,726 ",2018
Indianapolis Colts,"$162,784,282 ",2018
Buffalo Bills,"$160,553,255 ",2018
Baltimore Ravens,"$151,235,063 ",2018
